genre,platform,Total_Revenue,Average_Price,Number_of_Games
Horror,PC,26165705724389.0,27.8088679245283,5300
Horror,PlayStation 4,21297967470956.0,24.45279922363597,4637
Horror,PlayStation 5,31958013549912.0,28.557714960916197,5501
Horror,Xbox One,25473350657917.0,25.175774204823487,5722
Horror,Xbox Series X/S,26240053348663.0,28.610662460567823,5072
Indie,Nintendo Switch,9779045874660.0,12.489283553574271,6281
Indie,PC,15673436846672.0,14.394717919567999,7037
Indie,PlayStation 4,10843606678175.0,11.75283464566929,6350
Indie,PlayStation 5,14505989963387.0,13.025219787605861,7439
Indie,Xbox One,14476998878588.0,12.235931013886814,6697
Indie,Xbox Series X/S,13752221224911.0,16.02969678835029,5013
MMORPG,Nintendo Switch,4826817926077.0,4.43940688383528,3254
MMORPG,PC,5264385677533.0,3.4764323467230445,3784
MMORPG,PlayStation 4,5856062392076.0,2.025647988999656,2909
MMORPG,PlayStation 5,7303055518602.0,5.708924364538127,3226
MMORPG,Xbox One,3038120421730.0,3.369624178712221,3805
MMORPG,Xbox Series X/S,3473403158702.0,4.343998839233894,3446
MOBA,Nintendo Switch,7441745565463.0,0.0,3298
MOBA,PC,13138274416204.0,0.0,4960
MOBA,PlayStation 4,6716596139124.0,0.0,2958
MOBA,PlayStation 5,10560007883406.0,0.0,3877
MOBA,Xbox One,4707403505392.0,0.0,2468
MOBA,Xbox Series X/S,10549493142196.0,0.0,3106
Platformer,Nintendo Switch,75340391832286.0,40.482207792207795,6160
Platformer,PC,66004886727594.0,35.24739418663947,7844
Platformer,PlayStation 4,53701627381379.0,34.62660394961903,6431
Platformer,PlayStation 5,68942298106050.0,37.92540338231217,7214
Platformer,Xbox One,35828364623783.0,34.976260053619306,5968
Platformer,Xbox Series X/S,56289099537701.0,38.96688303735456,6532
Puzzle,Nintendo Switch,26007948242271.0,17.891660280970626,6264
Puzzle,PC,24918937032316.0,17.512394549934772,6899
Puzzle,PlayStation 4,22481668879160.0,18.364945438673068,4582
Puzzle,PlayStation 5,26567599605419.0,18.96883119232857,5527
Puzzle,Xbox One,28461401027593.0,16.658339344519366,6377
Puzzle,Xbox Series X/S,39504516143483.0,18.70048632218845,6580
RPG,Nintendo Switch,133992660629656.0,54.67097481961419,13582
RPG,PC,126817373171122.0,55.4459400151338,14537
RPG,PlayStation 4,96220220682342.0,49.91758360573296,11931
RPG,PlayStation 5,149855104295339.0,58.43963924963925,13860
RPG,Xbox One,118995876470072.0,49.556592073919006,13853
RPG,Xbox Series X/S,122482008619488.0,58.47694596235579,11529
Racing,Nintendo Switch,58818403418590.0,55.5212248186946,4964
Racing,PC,56545640299855.0,46.78702537182852,5715
Racing,PlayStation 4,43718834351559.0,48.641789387083506,4862
Racing,PlayStation 5,60851354081681.0,50.08786760025461,6284
Racing,Xbox One,25898173601882.0,41.20181695307974,5179
Racing,Xbox Series X/S,35490586664461.0,49.70142109851787,4588
Sandbox,Nintendo Switch,27326824899516.0,26.962040346841267,5651
Sandbox,PC,27235460973755.0,29.78863301787592,3804
Sandbox,PlayStation 4,22725668526554.0,26.60994542297197,4031
Sandbox,PlayStation 5,26964832218012.0,28.656879931755174,4689
Sandbox,Xbox One,29193888737371.0,26.211698113207547,5300
Sandbox,Xbox Series X/S,19519822628061.0,30.992454261490405,4482
Simulation,Nintendo Switch,43500712873188.0,36.75508921644686,6445
Simulation,PC,53268569661878.0,34.82940802348337,8176
Simulation,PlayStation 4,38002167690797.0,31.100877837554126,7621
Simulation,PlayStation 5,64172559359890.0,39.2256438319146,7401
Simulation,Xbox One,24445128749780.0,32.649735630476755,6733
Simulation,Xbox Series X/S,62646179133592.0,38.008389113644725,8157
Sports,Nintendo Switch,60211865056867.0,57.18074889867841,6810
Sports,PC,52999529550787.0,53.53246149498375,7077
Sports,PlayStation 4,31612655263926.0,49.477839322140284,6373
Sports,PlayStation 5,57414126940398.0,57.24258988421694,6564
Sports,Xbox One,47710957747602.0,47.70608077786088,6685
Sports,Xbox Series X/S,39913855892912.0,57.45723129663238,4959
Strategy,Nintendo Switch,57660304788656.0,36.82897458661636,9011
Strategy,PC,43028104483738.0,34.95031831379718,9299
Strategy,PlayStation 4,39540746048437.0,32.6254657687991,8910
Strategy,PlayStation 5,72101294832262.0,38.32774949882332,11473
Strategy,Xbox One,50949238736901.0,34.68935408103347,8515
Strategy,Xbox Series X/S,65235300670440.0,36.42816483211544,10811
Visual Novel,Nintendo Switch,2847657083242.0,13.269863481228668,1465
Visual Novel,PC,4175436910753.0,12.64207100591716,1690
Visual Novel,PlayStation 4,3516392786501.0,10.85951433586893,1709
Visual Novel,PlayStation 5,2821369288835.0,13.948333333333332,1080
Visual Novel,Xbox One,3980751398019.0,13.43329303396661,1737
Visual Novel,Xbox Series X/S,5647435923493.0,13.799474232170745,1921
